AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.265,50458,2021,20210618
0.500,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0.271,50458,2021,20210619
0.250,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0.271,50458,2021,20210620
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.264,50458,2021,20210622
0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.27,50458,2021,20210623
0.000,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0.265,50458,2021,20210624
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.261,50458,2021,20210626
0.500,4,4,2,2,0,0,0,1,2,0,0,0,0,0,0.267,50458,2021,20210627
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,50458,2021,20210629
0.333,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0.268,50458,2021,20210630
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.263,50458,2021,20210630
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,50458,2021,20210702
0.500,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0.266,50458,2021,20210709
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,50458,2021,20210710
0.333,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0.267,50458,2021,20210711
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,50458,2021,20210812
-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.267,50458,2021,20210813
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.263,50458,2021,20210814
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.258,50458,2021,20210815
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,50458,2021,20210818
1.000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.263,50458,2021,20210819
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.258,50458,2021,20210820
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.254,50458,2021,20210822
1.000,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.258,50458,2021,20210824
0.000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.257,50458,2021,20210825
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,50458,2021,20210826
0.333,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0.258,50458,2021,20210828
0.500,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0.26,50458,2021,20210829
0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.262,50458,2021,20210831
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.263,50458,2021,20210901
0.333,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0.264,50458,2021,20210902
0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.268,50458,2021,20210903
0.750,4,4,2,3,0,0,0,1,0,0,0,0,0,0,0.278,50458,2021,20210904
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.27399999999999997,50458,2021,20210905
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.25,50506,2021,20210404
-,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,50506,2021,20210406
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,50506,2021,20210411
0.250,5,4,1,1,0,0,0,2,0,0,1,0,0,0,0.25,50506,2021,20210413
0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.231,50506,2021,20210414
0.500,5,2,1,1,1,0,0,1,1,0,2,0,0,0,0.267,50506,2021,20210415
0.333,4,3,1,1,1,0,0,0,0,0,1,0,2,0,0.278,50506,2021,20210416
0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.23800000000000002,50506,2021,20210417
0.250,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0.24,50506,2021,20210418
0.200,5,5,1,1,0,0,0,2,0,0,0,0,0,1,0.233,50506,2021,20210420
0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0.22899999999999998,50506,2021,20210421
1.000,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0.25,50506,2021,20210422
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.225,50506,2021,20210423
0.333,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0.233,50506,2021,20210424
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22699999999999998,50506,2021,20210425
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.22899999999999998,50506,2021,20210427
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.231,50506,2021,20210428
0.750,4,4,1,3,0,0,0,1,1,0,0,0,1,0,0.268,50506,2021,20210429
0.333,4,3,2,1,1,0,0,0,0,0,1,0,0,0,0.271,50506,2021,20210430
0.500,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0.27899999999999997,50506,2021,20210501
0.000,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0.266,50506,2021,20210502
0.000,4,3,0,0,0,0,0,1,1,0,1,0,1,0,0.254,50506,2021,20210505
0.500,5,4,3,2,0,0,1,4,2,0,1,0,0,0,0.268,50506,2021,20210506
0.333,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0.27,50506,2021,20210507
0.400,5,5,1,2,2,0,0,1,0,0,0,0,0,0,0.278,50506,2021,20210508
0.333,5,3,1,1,0,0,1,1,0,0,2,0,0,0,0.28,50506,2021,20210509
0.000,5,1,1,0,0,0,0,1,0,0,3,0,0,0,0.27699999999999997,50506,2021,20210511
0.000,4,2,1,0,0,0,0,0,0,1,2,0,0,0,0.271,50506,2021,20210512
0.667,4,3,1,2,0,0,1,2,0,0,1,0,1,0,0.284,50506,2021,20210513
0.250,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0.28300000000000003,50506,2021,20210514
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28,50506,2021,20210515
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.281,50506,2021,20210518
0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.28,50506,2021,20210519
0.250,4,4,2,1,0,0,0,0,0,0,0,0,0,1,0.27899999999999997,50506,2021,20210521
0.400,5,5,0,2,0,0,0,0,1,0,0,0,0,0,0.284,50506,2021,20210522
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0.27699999999999997,50506,2021,20210523
0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.27,50506,2021,20210526
0.500,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0.27399999999999997,50506,2021,20210527
0.400,5,5,1,2,1,0,1,1,0,0,0,0,1,0,0.27899999999999997,50506,2021,20210529
0.000,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.272,50506,2021,20210529
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.27,50506,2021,20210530
0.333,4,3,0,1,0,0,0,1,0,1,1,0,0,0,0.271,50506,2021,20210601
0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.271,50506,2021,20210602
0.200,5,5,1,1,1,0,0,2,0,0,0,0,0,0,0.268,50506,2021,20210603
0.500,6,4,3,2,0,0,0,2,0,0,2,0,0,0,0.275,50506,2021,20210604
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.27399999999999997,50506,2021,20210605
0.400,6,5,2,2,0,0,0,0,0,0,1,0,0,0,0.278,50506,2021,20210606
0.000,4,3,1,0,0,0,0,1,0,0,0,0,1,0,0.273,50506,2021,20210608
0.250,5,4,1,1,0,0,0,2,0,0,1,0,3,0,0.272,50506,2021,20210609
0.750,4,4,2,3,2,0,0,1,0,0,0,0,0,0,0.284,50506,2021,20210610
0.333,4,3,1,1,1,0,0,0,0,0,1,0,0,0,0.285,50506,2021,20210613
0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.284,50506,2021,20210613
0.500,4,2,0,1,0,0,0,0,0,0,2,0,0,0,0.287,50506,2021,20210615
0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.278,50506,2021,20210616
0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.276,50506,2021,20210617
0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0.272,50506,2021,20210618
0.333,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0.273,50506,2021,20210619
0.667,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0.27899999999999997,50506,2021,20210620
0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.272,50506,2021,20210622
0.750,5,4,2,3,1,0,0,3,0,0,0,0,1,0,0.281,50506,2021,20210623
0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.28600000000000003,50506,2021,20210624
0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.284,50506,2021,20210626
0.400,6,5,0,2,0,0,0,0,0,0,1,0,0,0,0.28600000000000003,50506,2021,20210629
0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0.28,50506,2021,20210630
0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.27899999999999997,50506,2021,20210701
0.250,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0.27899999999999997,50506,2021,20210702
0.000,5,3,1,0,0,0,0,0,0,0,2,0,1,1,0.275,50506,2021,20210704
0.500,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0.27699999999999997,50506,2021,20210705
0.250,5,4,2,1,0,0,0,0,0,0,1,0,2,0,0.27699999999999997,50506,2021,20210810
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.27699999999999997,50506,2021,20210811
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.27699999999999997,50506,2021,20210812
0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.28,50506,2021,20210813
0.000,5,3,2,0,0,0,0,0,0,0,2,0,0,1,0.27699999999999997,50506,2021,20210814
0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0.27699999999999997,50506,2021,20210815
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.276,50506,2021,20210817
0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0.273,50506,2021,20210818
0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.27399999999999997,50506,2021,20210820
0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.27399999999999997,50506,2021,20210822
0.500,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0.278,50506,2021,20210823
0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.273,50506,2021,20210825
0.600,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0.27899999999999997,50506,2021,20210826
0.200,6,5,2,1,0,0,0,1,0,0,1,0,2,0,0.27699999999999997,50506,2021,20210828
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.273,50506,2021,20210829
0.333,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0.27399999999999997,50506,2021,20210831
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.27399999999999997,50506,2021,20210903
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.272,50506,2021,20210903
0.333,5,3,0,1,1,0,0,2,0,1,2,0,0,0,0.272,50506,2021,20210904
0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.27399999999999997,50506,2021,20210905
0.500,4,2,0,1,0,0,0,0,1,0,2,0,0,0,0.5,50854,2021,20210404
0.500,4,2,0,1,0,0,0,1,1,0,2,0,0,0,0.5,50854,2021,20210406
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.25,50854,2021,20210407
0.200,5,5,1,1,0,0,0,0,1,0,0,0,1,0,0.231,50854,2021,20210408
0.000,5,4,0,0,0,0,0,1,0,0,0,0,1,0,0.17600000000000002,50854,2021,20210409
0.200,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0.182,50854,2021,20210410
0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.174,50854,2021,20210411
0.000,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0.154,50854,2021,20210413
0.000,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0.14300000000000002,50854,2021,20210414
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.125,50854,2021,20210415
0.500,4,2,0,1,0,0,0,0,0,0,1,1,1,0,0.147,50854,2021,20210416
0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.16699999999999998,50854,2021,20210417
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16699999999999998,50854,2021,20210418
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16699999999999998,50854,2021,20210420
0.000,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0.15,50854,2021,20210421
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,50854,2021,20210422
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.14300000000000002,50854,2021,20210423
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14300000000000002,50854,2021,20210424
0.000,4,2,0,0,0,0,0,1,0,0,2,0,0,0,0.136,50854,2021,20210425
1.000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.156,50854,2021,20210508
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,50854,2021,20210509
0.000,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0.149,50854,2021,20210509
0.500,5,4,2,2,0,0,1,1,0,0,1,0,0,0,0.17600000000000002,50854,2021,20210511
0.000,6,5,0,0,0,0,0,0,1,0,1,0,2,0,0.161,50854,2021,20210512
0.000,5,2,2,0,0,0,0,0,1,1,2,1,1,0,0.155,50854,2021,20210513
0.250,5,4,0,1,0,0,0,0,1,0,1,0,1,0,0.161,50854,2021,20210514
0.600,5,5,1,3,2,0,0,1,0,0,0,0,0,0,0.19399999999999998,50854,2021,20210517
0.200,5,5,1,1,0,1,0,0,0,0,0,0,0,1,0.19399999999999998,50854,2021,20210518
0.200,6,5,2,1,0,0,0,0,0,0,1,0,0,0,0.195,50854,2021,20210519
0.500,5,4,2,2,0,0,0,1,0,0,1,0,0,0,0.21,50854,2021,20210521
0.750,5,4,3,3,0,0,1,2,2,0,0,0,0,0,0.235,50854,2021,20210522
0.600,5,5,1,3,2,0,0,0,0,0,0,0,1,0,0.256,50854,2021,20210523
0.200,7,5,1,1,0,0,0,0,0,0,2,0,0,0,0.253,50854,2021,20210526
0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.25,50854,2021,20210527
0.400,6,5,1,2,0,0,0,2,1,0,1,0,2,0,0.257,50854,2021,20210528
0.000,6,5,2,0,0,0,0,0,0,0,1,0,1,0,0.245,50854,2021,20210529
0.250,5,4,0,1,0,0,0,0,0,0,1,0,2,0,0.24600000000000002,50854,2021,20210530
-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.24600000000000002,50854,2021,20210601
0.500,4,2,2,1,0,0,1,1,0,0,2,0,0,0,0.25,50854,2021,20210602
